Author,Title,Sourcetitle,Volume,Issue,Pagestart,Pageend
"Vaught, S.E.; Castagno, A.E.","""I don't think I'm a racist"": Critical Race Theory, teacher attitudes, and structural racism",Race Ethnicity and Education,11,2,95,113
"Portacolone, E.; Perissinotto, C.; Yeh, J.C.; Greysen, S.R.","""i Feel Trapped"": The Tension between Personal and Structural Factors of Social Isolation and the Desire for Social Integration among Older Residents of a High-Crime Neighborhood",Gerontologist,58,1,79,88
"Hayden, D.","""I have seen the future"": Selling the unsustainable city",Journal of Urban History,38,1,3,15
"Deutsch, N.L.","""I like to treat others as others would treat me"": the development of prosocial selves in an urban youth organization.",New directions for youth development,,108,89,105
"Masko, A.L.","""I think about it all the time"": A 12-year-old girl's internal crisis with racism and the effects on her mental health",Urban Review,37,4,329,350
"Bhimji, Fazila","""I Want You to See Us as a Person and Not As a Gang Member or a Thug""",Identity,4,1,39,58
"Hoffelmeyer, M.","""I wonder if I'm being [a] Karen”: Analyzing rural–urban farmer network building",Agriculture and Human Values,41,4,1557,1571
"Hamler, T.C.; Cutforth, A.; O'Donnell, K.; Miller, E.K.","""i Won't Put Myself or My Family Through That"": Decision Preferences, Family Experiences, and Kidney Disease Decision Making",Gerontologist,65,5,,
"Gardezi, Nilofar","""If The House Is Not Yet Finished"": Urban Renewal and Postwar African American Poetry",Dissertations & Theses,,,,
"Jewett, S.","""If you don't identify with your ancestry, you're like a race without a land"": Constructing race at a small urban middle school",Anthropology and Education Quarterly,37,2,144,161
"Sweet, E.","""If your shoes are raggedy you get talked about"": Symbolic and material dimensions of adolescent social status and health",Social Science and Medicine,70,12,2029,2035
"Chhuon, V.","""I'm Khmer and I'm not a gangster!"": The problematization of Cambodian male youth in US schools",International Journal of Qualitative Studies in Education,27,2,233,250
"Murphy, A.S.; Acosta, M.A.; Kennedy-Lewis, B.L.","""I'm not running around with my pants sagging, so how am I not acting like a lady?"": Intersections of Race and Gender in the Experiences of Female Middle School Troublemakers",Urban Review,45,5,586,610
"Schnee, E.","""In the real world no one drops their standards for you"": Academic rigor in a college worker education program",Equity and Excellence in Education,41,1,62,80
"Atencio, M.; Beal, B.; Yochim, E.C.","""It ain't just black kids and white kids"": The representation and reproduction of authentic ""skurban"" masculinities",Sociology of Sport Journal,30,2,153,172
"Simons, Sara M.","""It gets under your skin"": Using process drama to explore race and privilege with undergraduate students",Dissertations & Theses,,,,
"Allison, R.; Risman, B.J.","""it goes hand in hand with the parties"": Race, class, and residence in college student negotiations of hooking up",Sociological Perspectives,57,1,102,123
"Gafford, F.D.","""It was a real village"": Community identity formation among black middle-class residents in Pontchartrain Park",Journal of Urban History,39,1,36,58
"Sims, John Revel","""It was like dancing on a grave"": Eviction and Displacement in Los Angeles 1994-2000",Dissertations & Theses,,,,
"Chuang, E.; Hashai, N.; Buonora, M.; Gabison, J.; Kligler, B.; McKee, M.D.","""it's Better in a Group Anyway"": Patient Experiences of Group and Individual Acupuncture",Journal of Alternative and Complementary Medicine,24,4,336,342
"Starr, A.","""It's got to be us"": Urban youthworkers",Children and Youth Services Review,25,11,911,933
"Ross, J.I.; Wright, B.S.","""I've Got Better Things to Worry About"": Police Perceptions of Graffiti and Street Art in a Large Mid-Atlantic City",Police Quarterly,17,2,176,200
"McKee, G.A.","""I've never dealt with a government agency before"": Philadelphia's somerset knitting mills project, the local state, and the missed opportunities of urban renewal",Journal of Urban History,35,3,387,409
"Greene, K.D.","""just a dream"": Big Bill Broonzy, the blues, and Chicago's black metropolis",Journal of Urban History,40,1,116,136
"Axelrod, J.B.C.","""Keep the 'L' out of Los Angeles"": Race, discourse, and urban modernity in 1920s Southern California",Journal of Urban History,34,1,3,37
"Hansen, K.V.; Osterud, G.; Grim, V.","""Land was one of the greatest gifts"": Women's landownership in Dakota Indian, immigrant Scandinavian, and African American communities",Great Plains Quarterly,38,3,251,272
"Bourgeois, F.T.; Shannon, M.W.; Stack, A.M.","""Left Without Being Seen"": A National Profile of Children Who Leave the Emergency Department Before Evaluation",Annals of Emergency Medicine,52,6,599,605
"Quigley, Michael William","""Let Them Speak Their <i>Peace</i>"" A retrospective critical race exploration of adolescent black male social and schooling experiences, identity development, and educational/life outcomes in Pittsburgh",Dissertations & Theses,,,,
"Mutegi, J.W.","""life's first need is for us to be realistic"" and other reasons for examining the sociocultural construction of race in the science performance of African American students",Journal of Research in Science Teaching,50,1,82,103
"Drew, E.M.","""Listening Through White Ears"": Cross-racial dialogues as a strategy to address the racial effects of gentrification",Journal of Urban Affairs,34,1,99,115
"DeVoe, J.E.; Graham, A.; Krois, L.; Smith, J.; Fairbrother, G.L.","""Mind the Gap"" in Children's Health Insurance Coverage: Does the Length of a Child's Coverage Gap Matter?",Ambulatory Pediatrics,8,2,129,134
"Greysen, S.R.; Hoi-Cheung, D.; Garcia, V.; Kessell, E.; Sarkar, U.; Goldman, L.; Schneidermann, M.; Critchfield, J.; Pierluissi, E.; Kushel, M.","""missing pieces"" - Functional, social, and environmental barriers to recovery for vulnerable older adults transitioning from hospital to home",Journal of the American Geriatrics Society,62,8,1556,1561
"Miller, M.J.","""Mouth for God"": Temperate labor, race, and methodist reform in William Apess's a son of the forest",Journal of the Early Republic,30,2,225,251
"Anderson, M.B.; Sternberg, C.","""Non-White"" Gentrification in Chicago's Bronzeville and Pilsen: Racial Economy and the Intraurban Contingency of Urban Redevelopment",Urban Affairs Review,49,3,435,467
"de Oliver, M.; Dawson-Muñoz, T.","""Place-not-race""?: The inadequacy of geography to address racial disparities",Review of Black Political Economy,25,2,54,60
"Dochuk, D.","""Praying for a wicked city"": Congregation, community, and the suburbanization of fundamentalism",Religion and American Culture,13,2,167,203
"Kirouac-Fram, J.","""Public Transportation is Very Important to Wal-Mart"": The Urban Bus and Race in the Neoliberal Age",Souls,14,4-Mar,160,184
"Lambert-Pennington, K.","""Real Blackfellas"": Constructions and Meanings of Urban Indigenous Identity",Transforming Anthropology,20,2,131,145
"Neidenbach, E.C.","""refugee from St. Domingue Living in This City"": The Geography of Social Networks in Testaments of Refugee Free Women of Color in New Orleans",Journal of Urban History,42,5,841,862
"Bundy, T.","""Revolutions happen through young people!"": The black student movement in the Boston Public Schools, 1968-1972",Journal of Urban History,43,2,273,293
"Deutsch, N.L.; Jones, J.N.","""Show me an ounce of respect"": Respect and authority in adult-youth relationships in after-school programs",Journal of Adolescent Research,23,6,667,688
"Wissman, K.","""spinning themselves into poetry"": Images of Urban adolescent writers in two novels for young adults",Children's Literature in Education,40,2,149,167
"Hall-Reinhard, Arianna","""Squeezed between the Gunshots and the Gentrifiers"": Urban Agriculture in Philadelphia's Kensington Neighborhood",Dissertations & Theses,,,,
"Issel, W.","""Still potentially dangerous in some quarters"": Sylvester Andriano, Catholic action, and Un-American activities in California",Pacific Historical Review,75,2,231,270
"Flowe, Douglas J.","""Tell the Whole White World"": Crime, Violence, and Black Men in Early Migration New York City, 1890-1918",Dissertations & Theses,,,,
"Jacobson, Hannah K.","""That street's for them not us"": Perceptions and experiences of public space in Georgetown, Delaware",Dissertations & Theses,,,,
"Roxas, K.; Roy, L.","""That's How We Roll"": A Case Study of a Recently Arrived Refugee Student in an Urban High School",Urban Review,44,4,468,486
"Roy, A.; Schrader, S.; Crane, E.S.","""The Anti-Poverty Hoax"": Development, pacification, and the making of community in the global 1960s",Cities,44,,139,145
"Jackson, K.","""The Garden Is Life and the Garden Is Death"": Radical Growers and the Struggle for Liberation",Environmental Justice,15,1,25,30
"Wright, Brian L.","""The great balancing act"": Identity and academic achievement of successful African-American male adolescents in an urban pilot high school in the United States",Dissertations & Theses,,,,
"Balto, Simon","""The Law has a Bad Opinion of Me"": Policing and Politics in Twentieth-Century Black Chicago",Dissertations & Theses,,,,
"Willoughby-Herard, T.","""The only one who was thought to know the pulse of the people"": Black women's politics in the era of post-racial discourse",Cultural Dynamics,26,1,73,90
"Gadsden, B.","""The other side of the milliken coin"": The promise and pitfalls of metropolitan school desegregation",Journal of Urban History,36,2,173,196
"Goldstein, Brian D.","""The Search for New Forms"": Black Power and the Making of the Postmodern City.",Journal of American History,103,2,375,399
"Pramuk, Christopher","""The Street Is for Celebration"": Racial Consciousness and the Eclipse of Childhood in America's Cities.",Merton Annual,25,,91,103
"O'Hara, S.P.","""The very model of modern urban decay"": Outsiders' narratives of industry and urban decline in Gary, Indiana",Journal of Urban History,37,2,135,154
"Rubin, B.C.","""There's still not justice"": Youth civic identity development amid distinct school and community contexts",Teachers College Record,109,2,449,481
"Connor, M.A.","""these communities have the most to gain from valley cityhood"": Color-blind rhetoric of urban secession in Los Angeles, 1996-2003",Journal of Urban History,40,1,48,64
"Lindsay, Vernon C.","""They Schools Ain't Teachin' Us"": Black Males, Resistance, and Education at Uhuru High School",Dissertations & Theses,,,,
"Arce, Martin Sean","""They Tried to Bury Us, but They Didn't Know We Were Seeds."" ""Trataron de enterrarnos, pero no sabían que éramos semillas."" The Mexican American/Raza Studies Political and Legal Struggle: A Content Analysis",Dissertations & Theses,,,,
"Connor, S.M.; Wesolowski, K.L.","""They're too smart for that"": predicting what children would do in the presence of guns.",Pediatrics,111,2,E109,114
"Johnson, M.K.","""This strange white world"" Race and place in era bell Thompson's American Daughter",Great Plains Quarterly,24,2,101,111
"Abell, Jane Lief","""Those Philly Muslims"": Race, Islam, and the Search for Muslim Philadelphia",Dissertations & Theses,,,,
"Arnold, F.W.","""Time is not on our side"": Cultural vs. structural explanations of black American women students' achievement in the urban, nonelite university",Urban Review,25,3,199,220
"Kirouac-Fram, J.","""To serve the community best"": Reconsidering black politics in the struggle to save Homer G. Phillips Hospital in St. Louis, 1976-1985",Journal of Urban History,36,5,594,616
"Sacks, M.S.","""To show who was in charge"" Police repression of New York City's black population at the turn of the twentieth century",Journal of Urban History,31,6,799,819
"Johnson, A.W.","""Turnaround"" as Shock Therapy: Race, Neoliberalism, and School Reform",Urban Education,48,2,232,256
"Storr, C.L.; Chen, C.-Y.; Anthony, J.C.","""Unequal opportunity"": Neighbourhood disadvantage and the chance to buy illegal drugs",Journal of Epidemiology and Community Health,58,3,231,237
"Smolarek, Bailey","""Unintended Consequences"": Reforms, Race, and the Schooling Experiences of Mexican Emergent Bilinguals in a New Destination High School",Dissertations & Theses,,,,
"Watson, D.","""Urban, but not too urban"": Unpacking teachers' desires to teach urban students",Journal of Teacher Education,62,1,23,34
"Cruz, T.M.F.","""We took 'em on"": The latino movement for educational justice in Boston, 1965-1981",Journal of Urban History,43,2,235,255
"Lustick, H.","""What are we restoring?"" black teachers on restorative discipline",Advances in Race and Ethnicity in Education,4,,113,134
"Dutro, E.; Kazemi, E.; Balf, R.; Lin, Y.-S.","""What are you and where are you from?"": Race, identity, and the vicissitudes of cultural relevance",Urban Education,43,3,269,300
"Matias, C.E.; Viesca, K.M.; Garrison-Wade, D.F.; Tandon, M.; Galindo, R.","""What is Critical Whiteness Doing in OUR Nice Field like Critical Race Theory?"" Applying CRT and CWS to Understand the White Imaginations of White Teacher Candidates",Equity and Excellence in Education,47,3,289,304
"Shaw, S.; Sullivan, D.M.","""White night"": Gentrification, racial exclusion, and perceptions and participation in the arts",City and Community,10,3,241,264
"Epstein, S.E.","""Who are your Friends?"" Complexities in Multicultural Education",Urban Review,42,1,39,57
"Ibokette, Yolette H.","""Who Else Will Show the Kids How to Get Through?:” A Narrative Research Study of Culturally Relevant Pedagogical Practices of Ninth Grade Urban Public School Teachers of Black Boys",Dissertations & Theses,,,,
"Fecho, B.","""Why are you doing this?"": Acknowledging and transcending threat in a critical inquiry classroom",Research in the Teaching of English,36,1,9,37
"Oto, Ryan Duncan","""Why Work Here? This Place Is so Ghetto"": Portraits of Teaching with and for Racial Justice in an Urban School",Dissertations & Theses,,,,
"Rothman, E.F.; Kaczmarsky, C.; Burke, N.; Jansen, E.; Baughman, A.","""without Porn. i Wouldn't Know Half the Things i Know Now"": A Qualitative Study of Pornography Use among a Sample of Urban, Low-Income, Black and Hispanic Youth",Journal of Sex Research,52,7,736,746
"Kirouac-Fram, Jaclyn H.","""Yellow rolling cell blocks"": The urban bus and race in the United States",Dissertations & Theses,,,,
"Ault, E.","""You can help yourself/but don't take too much"": African american motherhood on the wire",Television and New Media,14,5,386,401
"Rodriguez, N.; Smith, H.; Zatz, M.S.","""youth is enmeshed in a highly dysfunctional family system"": Exploring the relationship among dysfunctional families, parental incarceration, and juvenile court decision making",Criminology,47,1,177,208
"Gross, Nora","#LongLiveDaGuys: Online Grief, Solidarity, and Emotional Freedom for Black Teenage Boys after the Gun Deaths of Friends",JOURNAL OF CONTEMPORARY ETHNOGRAPHY,52,2,261,289
"Dunn, Alyssa Hadley; Neville, Mary L.; Vellanki, Vivek",#UrbanAndMakingIt: Urban Youth's Visual Counternarratives of Being #MoreThanAStereotype,URBAN EDUCATION,57,1,58,82
"Hirsch, A.R.",(Almost) a closer walk with thee: Historical reflections on New Orleans and Hurricane Katrina,Journal of Urban History,35,5,614,626
"Haskaj, F.",(Community) garden in the city: Conspicuous labor and gentrification,Environment and Planning A,53,5,1051,1075
"Abdi, N.M.; Loza, D.S.; Vue, K.","(De)Coloniality of Mothering: Race, Gender, and Mothers in Schools",Journal of Ethnic and Cultural Studies,11,5 Special Issue,98,116
"Shokry, G.; Anguelovski, I.; Connolly, J.J.T.",(Mis-)belonging to the climate-resilient city: Making place in multi-risk communities of racialized urban America,Journal of Urban Affairs,47,1,121,141
"Wileden, Lydia M.L.",(Mis)Perceiving the Metropolis: The Correlates and Consequences of Imperfect Neighborhood Knowledge,Dissertations & Theses,,,,
"Sall, Dialika","(Re)Defining Blackness: Race, Ethnicity and the Children of African Immigrants",Dissertations & Theses,,,,
"Fhagen-Smith, P.E.; Vandiver, B.J.; Worrell, F.C.; Cross, W.E.","(Re)Examining racial identity attitude differences across gender, community type, and socioeconomic status among African American college students",Identity,10,3,164,180
"Ramer, Hannah J. J.","(Re)Imagining the City: Urban Agriculture, Policy, and Social Justice",Dissertations & Theses,,,,
"Hannegan-Martinez, S.; Mendoza Aviña, S.; Delgado Bernal, D.; Solórzano, D.G.",(Re)Imagining Transformational Resistance: Seeds of Resistance and Pedagogical Ruptures,Urban Education,59,7,2066,2095
"Manalansan Iv, M.F.",(Re)Locating the Gay Filipino,Journal of Homosexuality,26,3-Feb,53,72
"Barker, I.V.",(Re)Producing American Soldiers in an Age of Empire,Politics and Gender,5,2,211,235
"Porterfield, L.K.","(Re)Seeing Black girls: intersections of liberalism, difference, and the hidden curriculum",Visual Studies,32,4,301,312
"Satcher, Lacee Anne","(Un) Just Deserts: Examining the Consequences of Economic, Social, and Environmental Disinvestment in the Urban South",Dissertations & Theses,,,,
"Lemke, M.",(Un)doing Spatially Fixed Inequality: Critical Reflections on Urban School District-Community Partnerships,Urban Review,52,4,623,649
"Lee, C. Aujean",?Working towards a better future for ourselves?: Neighborhood choice of middle-class Latino and Asian homeowners in Los Angeles,JOURNAL OF URBAN AFFAIRS,43,7,941,959
"Imbroscio, David",[U]nited and actuated by some common impulse of passion: Challenging the dispersal consensus in American housing policy research,JOURNAL OF URBAN AFFAIRS,30,2,111,130
"Peirce, Neal R.",`Back to the future' for better American communities?,Nation's Cities Weekly,16,40,3,
"Pazey, B.L.",¡Ya Basta! Countering the Effects of Neoliberal Reform on an Urban Turnaround High School,American Educational Research Journal,57,4,1868,1906
"Quiñones, S.; Ares, N.; Padela, M.R.; Hopper, M.; Webster, S.","¿Y Nosotros, Qué?: Moving beyond the Margins in a Community Change Initiative",Anthropology and Education Quarterly,42,2,103,120
"Eversman, M.H.",‘‘Trying to find the middle ground’’: Drug policy and harm reduction in black communities,Race and Justice,4,1,29,44
"Sanchez, Angelica Maria",‘<em>Being Uncomfortable with the Kids</em>’: How High School History Teachers Talk about Race in the Classroom,Dissertations & Theses,,,,
"Jewell, J.O.",‘An Injurious Effect on the Neighbourhood’: Narratives of Neighbourhood Decline and Racialised Class Identities in Late Nineteenth-Century San Francisco,Immigrants and Minorities,36,1,1,19
"Carey, R.L.; Akiva, T.; Abdellatif, H.; Daughtry, K.A.",‘And school won’t teach me that!’ Urban youth activism programs as transformative sites for critical adolescent learning,Journal of Youth Studies,24,7,941,960
"Martinez, J.",‘ARE WE JUST KILLING PEOPLE?’: Centering Racial Capitalism in the Green Gentrification of the Atlanta BeltLine,International Journal of Urban and Regional Research,47,3,444,460
"Woodson, A.N.",‘Being black is like being a soldier in Iraq’: metaphorical expressions of blackness in an urban community,International Journal of Qualitative Studies in Education,30,2,161,174
"Hernandez, A.C.",‘EL BARRIO NO SE VENDE/THE ‘HOOD IS NOT FOR SALE’: Anti-gentrification Activism and ‘Hood Solidarity from a Los Angeles Barrio,International Journal of Urban and Regional Research,,,,
"Lawhon, M.; McCreary, T.","‘ENOUGH’ AS NEITHER MORE OR LESS, BUT BETTER!",Field Actions Science Report,,Special Issue 26,58,61
"Sung, K.K.","‘Hella ghetto!’: (dis)locating race and class consciousness in youth discourses of ghetto spaces, subjects and schools",Race Ethnicity and Education,18,3,363,395
"Jimenez, A.M.; Collins, T.W.",‘How do we not go back to the factory?’: Contradictions of urban development for a Latina-led NGO,City,21,6,737,753
"Nolan, K.",‘I’m a kid from the Bronx’: A reflection on the enduring contributions of Willis’s cultural production perspective in Learning to Labour,Ethnography,19,4,464,478
"Ziv, T.",‘It be hard just existing’: Institutional surveillance and precarious objects in the northeast rustbelt,Ethnography,18,2,153,174
"Lucero, A.; Avelar, J.",‘It’s probably still written by a white person’: challenging assumptions about racial identity in a critical professional development course,Critical Discourse Studies,21,4,383,399
"Finlay, J.; Jang, J.; Esposito, M.; Mcclure, L.; Judd, S.; Clarke, P.","‘My neighbourhood is fuzzy, not hard and fast’: Individual and contextual associations with perceived residential neighbourhood boundaries among ageing Americans",Urban Studies,60,1,85,108
"Jasnow, B.",‘NOW ART COMES’: THE PARTHENON AND RACIAL CONQUEST IN KANSAS CITY,Greece and Rome,71,2,191,216
"Karner, A.; Duckworth, R.",‘Pray for transit’: Seeking transportation justice in metropolitan Atlanta,Urban Studies,56,9,1882,1900
"Johnson, D.","‘Profane language, horrid oaths and imprecations’: order and the colonial soundscape in the American mid-Atlantic, 1650–1751",Social History,46,3,255,277
"Ochonicky, A.",‘Something to be haunted by’: Adaptive monsters and regional mythologies in ‘The Forbidden’ and Candyman,Horror Studies,11,1,101,122
"Briscoe, F.M.; Khalifa, M.A.",‘That racism thing’: a critical race discourse analysis of a conflict over the proposed closure of a black high school,Race Ethnicity and Education,18,6,739,763
"DeLeon, Loren Adam",‘The Dark Past Has Taught Us...The Hope that the Present Has Brought Us:’ How Race and Religion Inform Theology Instruction at Jesuit High Schools,Dissertations & Theses,,,,
"Haycox, H.; Meer, N.; Finney, N.; Rhodes, J.; Hill, E.; Leahy, S.","‘The Green Areas Are Out of Our Reach’: Racialisation, Erasure and Resistance in UK Urban Greening Initiatives",Sociology,59,1,161,179
"Sanders-Smith, S.C.; Smith-Bonahue, T.M.; Soutullo, O.R.","‘The parents are locked out’: policies, practices, and perspectives undermining family engagement",International Studies in Sociology of Education,29,3,250,273
"Ruez, D.; Parekh, T.",‘There is no political agenda’: Governing and contesting the compassionate city in Louisville,City,23,1,17,34
"Carolan, M.","‘They say they don’t see color, but maybe they should!’ Authoritarian populism and colorblind liberal political culture",Journal of Peasant Studies,47,7,1445,1469
"Levstik, L.S.; Barton, K.C.",‘They still use some of their past’: Historical salience in elementary children’s chronological thinking,Journal of Curriculum Studies,28,5,531,576
"Azzarito, L.; Simon, M.; Marttinen, R.",‘Up against Whiteness’: rethinking race and the body in a global era,"Sport, Education and Society",22,5,635,657
"Mitchell, M.N.",‘We always knew it was possible’: The long fight against symbols of white supremacy in New Orleans,City,,,580,593
"Kahler, S.; Harrison, C.","‘Wipe out the entire slum area’: university-led urban renewal in Columbia, South Carolina, 1950–1986",Journal of Historical Geography,67,,61,70
"Sullivan, S.",“‘Can You Hear Me?’: Virtual Noisemaking in the Pandemic (New York) City”,City and Society,37,1,,
"Philoxene, David Alexander",“<em>Can You Feel Me . . .</em>” : The Sociospatial Logics and Ghost-Map of Black and Urban Youth Navigating Urban Violence,Dissertations & Theses,,,,
"Felix, Antonio","“<em>Si no yo, ¿entonces quién?</em>”: <em>Testimonios</em> of Latino/a Catholic School Teachers in Under-Resourced Urban Catholic Schools",Dissertations & Theses,,,,
"O'Donnell, Madison Rose","“1000 Acres of Restricted Land”: The Larger Implications of Roland Park on Baltimore, From 1891 to the Present",Dissertations & Theses,,,,
"Allums, C.A.; Markley, S.N.; Hafley, T.J.","“A better place to be”? Black Mecca, White democracy, and the contradictions of neoliberal cityhood in Atlanta’s Black suburbs",Journal of Urban Affairs,44,6,793,807
"Matamonasa-Bennett, A.",“A Disease of the Outside People”: Native American Men’s Perceptions of Intimate Partner Violence,Psychology of Women Quarterly,39,1,20,36
"Manevitz, A.",“A Great Injustice”: Urban Capitalism and the Limits of Freedom in Nineteenth-Century New York City,Journal of Urban History,48,6,1365,1382
"McCabe, Matthew P.","“A more beautiful future”: Class, race and city planning in Glasgow and Chicago, 1890–1969",Dissertations & Theses,,,,
"Rigolon, A.; Yañez, E.; Aboelata, M.J.; Bennett, R.",“A park is not just a park”: Toward counter-narratives to advance equitable green space policy in the United States,Cities,128,,,
"Lacy, K.R.",“A part of the neighbourhood?”: Negotiating race in American suburbs,International Journal of Sociology and Social Policy,22,,39,74
"James, Shwayla “Shay”",“A Tale of Two Schools”: A Counter-Narrative of the Black Male Experience of College Readiness in One High School,Dissertations & Theses,,,,
"Campney, B.M.S.",“A white-and-negro environment which is seldom spotlighted” the twilight of Jim crow in the postwar urban midwest,Pacific Historical Review,90,1,84,118
"Young, J.K.","“All the City, Written, Erased, Rewritten?”: Sedimentary Memory in Before Yesterday We Could Fly and Teju Cole’s Open City",English Studies,106,1,77,91
"Radis, B.; Nadan, Y.",“Always Thinking About Safety”: African American Lesbian Mothers’ Perceptions of Risk and Well-being,Family Process,60,3,950,965
"Chiles, Marvin T.","“An Honest Conversation about Race”: Racial Reconciliation in Richmond, Virginia, 1954-Present",Dissertations & Theses,,,,
